Decision,Hand Strength,Pot,Already Bet,Call Difference,Players
0,12,460,100,110,5
0,8,250,100,0,6
0,13,500,150,100,3
1,13,250,100,0,3
4,13,550,200,0,2
0,12,250,100,0,5
3,12,400,200,-50,2
2,12,550,350,-200,2
0,12,850,350,-50,2
3,13,250,150,-50,2
2,13,300,200,-100,2
3,13,430,200,-70,2
2,405,560,330,-200,2
3,405,860,330,-30,2
2,405,1160,630,-330,2
3,13,550,150,100,4
2,110,950,400,-150,3
2,110,950,400,-150,3
4,228,950,400,-150,3
1,11,250,100,0,5
2,104,650,200,0,2
2,226,650,200,0,2
2,226,650,200,0,2
0,11,300,150,-50,6
3,405,250,150,-50,2
2,108,300,200,-100,2
3,108,450,200,-50,2
2,312,600,350,-200,2
4,312,600,350,-200,2
0,7,250,100,0,3
0,402,250,100,0,5
3,13,400,200,-50,2
2,108,550,350,-200,2
3,108,800,350,-100,2
4,312,1050,600,-350,2
4,312,1312,600,-350,2
0,7,525,150,125,3
0,5,250,100,0,4
0,9,250,100,0,6
0,9,525,150,125,3
1,13,500,100,150,4
0,102,250,100,0,5
0,8,250,150,-50,2
1,12,250,100,0,4
4,13,600,225,0,2
2,102,850,225,0,2
0,102,1350,225,275,2
1,411,250,100,0,5
4,11,750,200,0,3
0,8,250,100,0,6
0,402,250,100,0,3
1,13,250,100,0,4
0,5,250,100,0,6
2,9,300,200,-200,2
0,9,500,150,100,3
1,13,250,100,0,4
1,12,250,100,0,5
2,12,600,225,0,2
2,110,600,225,0,2
2,110,600,225,0,2
0,7,300,150,-50,6
3,408,375,200,-75,2
2,116,500,325,-200,2
1,116,777,325,-48,2
4,116,2108,852,-48,2
4,116,3162,852,-48,2
3,118,460,150,60,3
2,118,730,310,-100,3
4,118,730,310,-100,3
1,12,250,100,0,3
1,404,250,100,0,4
3,404,1550,250,800,2
2,122,2350,1050,0,2
4,122,2350,1050,0,2
1,12,250,100,0,5
4,12,550,200,0,2
3,12,400,200,-50,2
2,120,550,350,-200,2
0,120,1150,350,250,2
0,409,537,100,187,4
1,126,250,100,0,4
3,126,1900,200,1050,3
4,126,4000,1250,0,3
2,250,5925,1250,0,2
2,250,5925,1250,0,2
3,250,12750,1250,5575,2
0,11,250,100,0,6
3,13,400,200,-50,2
2,13,550,350,-200,2
3,13,730,350,-170,2
2,13,910,530,-350,2
4,13,910,530,-350,2
0,9,475,100,125,4
1,410,250,100,0,4
1,12,250,100,0,5
2,102,700,200,0,3
1,116,250,100,0,6
0,116,1900,225,975,3
3,13,600,200,-75,3
2,13,725,325,-200,3
2,120,725,325,-200,3
0,404,250,150,-50,2
0,407,450,100,100,5
1,13,250,100,0,5
2,13,700,225,0,2
0,10,250,100,0,6
0,8,450,150,50,3
0,408,250,100,0,4
1,116,250,100,0,5
1,13,500,200,50,2
0,13,4200,900,1850,2
0,11,475,100,125,4
1,408,250,100,0,5
0,408,1250,200,600,2
0,9,450,150,50,3
0,10,250,100,0,4
0,11,250,100,0,6
0,12,475,150,75,3
1,11,250,100,0,3
1,13,250,100,0,5
2,232,650,250,0,2
4,232,650,250,0,2
0,10,250,100,0,6
